Team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Year
Arizona Diamondbacks,51,28.3,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,.250,.322,.413,.736,99,2240,82,61,50,33,55,1064,2011
Atlanta Braves,45,28.9,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,.243,.308,.387,.695,90,2140,113,28,75,30,45,1109,2011
Baltimore Orioles,50,28.3,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,.257,.316,.413,.729,97,2306,154,52,24,43,24,1069,2011
Boston Red Sox,49,30.0,5.40,162,6414,5710,875,1600,352,35,203,842,102,42,578,1108,.280,.349,.461,.810,116,2631,136,50,22,50,52,1190,2011
Chicago Cubs,42,29.2,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,.256,.314,.401,.715,95,2224,123,59,60,35,35,1141,2011
Chicago White Sox,42,30.0,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,.252,.319,.388,.706,89,2133,125,84,52,46,31,1126,2011
Cincinnati Reds,42,28.6,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,.256,.326,.408,.734,98,2289,98,63,78,40,52,1189,2011
Cleveland Indians,46,27.8,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,.250,.317,.396,.714,100,2184,111,65,31,43,30,1075,2011
Colorado Rockies,55,28.6,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,.258,.329,.410,.739,88,2272,112,57,75,44,54,1172,2011
Detroit Tigers,45,28.7,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,.277,.340,.434,.773,109,2412,142,39,50,58,47,1165,2011
Florida Marlins,44,27.4,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,.247,.318,.388,.706,93,2139,111,51,89,42,38,1198,2011
Houston Astros,47,28.2,3.80,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,.258,.311,.374,.684,89,2092,111,46,66,37,34,1154,2011
Kansas City Royals,42,25.8,4.51,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,.275,.329,.415,.744,104,2354,121,39,55,57,37,1156,2011
Los Angeles Angels of Anaheim,43,28.9,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,.253,.313,.402,.714,102,2216,126,51,50,32,33,1051,2011
Los Angeles Dodgers,48,29.8,4.00,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,95,2039,101,45,71,43,61,1165,2011
Milwaukee Brewers,48,28.9,4.45,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,.261,.325,.425,.750,102,2315,114,56,85,44,53,1110,2011
Minnesota Twins,45,27.5,3.82,162,6020,5487,619,1357,259,25,103,572,92,39,440,1048,.247,.306,.360,.666,84,1975,115,37,31,25,24,1080,2011
New York Mets,46,28.0,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,.264,.335,.391,.725,103,2188,112,51,65,48,56,1257,2011
New York Yankees,48,30.6,5.35,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,.263,.343,.444,.788,110,2451,146,74,36,51,34,1114,2011
Oakland Athletics,48,29.1,3.98,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,.244,.311,.369,.680,88,2010,119,50,34,57,20,1106,2011
Philadelphia Phillies,42,31.5,4.40,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,.253,.323,.395,.717,96,2202,108,56,65,38,52,1197,2011
Pittsburgh Pirates,52,27.2,3.77,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,.244,.309,.368,.676,90,1993,123,34,75,44,31,1079,2011
San Diego Padres,48,28.0,3.66,162,6074,5417,593,1284,247,42,91,563,170,44,501,1320,.237,.305,.349,.653,85,1888,105,48,55,47,42,1103,2011
Seattle Mariners,47,29.4,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,.233,.292,.348,.640,84,1887,82,37,38,41,33,1083,2011
San Francisco Giants,44,30.2,3.52,162,6091,5486,570,1327,282,24,121,534,85,51,448,1122,.242,.303,.368,.671,91,2020,117,52,62,43,47,1127,2011
St. Louis Cardinals,46,29.3,4.70,162,6242,5532,762,1513,308,22,162,726,57,39,542,978,.273,.341,.425,.766,112,2351,169,44,84,40,64,1127,2011
Tampa Bay Rays,42,28.3,4.36,162,6152,5436,707,1324,273,37,172,674,155,62,571,1193,.244,.322,.402,.724,104,2187,101,73,37,35,31,1118,2011
Texas Rangers,45,29.1,5.28,162,6261,5659,855,1599,310,32,210,807,143,45,475,930,.283,.340,.460,.800,110,2603,135,39,39,49,35,1126,2011
Toronto Blue Jays,53,28.3,4.59,162,6210,5559,743,1384,285,34,186,704,131,52,525,1184,.249,.317,.413,.730,96,2295,108,48,31,47,41,1090,2011
Washington Nationals,44,28.4,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,.242,.309,.383,.691,89,2082,103,65,82,32,40,1114,2011
League Average,43,28.7,4.28,162,6175,5524,694,1409,280,30,152,660,109,42,501,1150,.255,.321,.399,.720,97,2204,117,52,56,42,41,1128,2011
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2011
,1295,28.7,4.28,4858,185245,165705,20808,42267,8399,898,4552,19804,3279,1261,15018,34488,.255,.321,.399,.720,97,66118,3523,1554,1667,1274,1231,33855,2011
Arizona Diamondbacks,48,28.3,4.53,162,6150,5462,734,1416,307,33,165,710,93,51,539,1266,.259,.328,.418,.746,99,2284,108,41,61,45,47,1122,2012
Atlanta Braves,41,28.4,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,.247,.320,.389,.709,90,2111,108,34,53,46,37,1127,2012
Baltimore Orioles,52,28.0,4.40,162,6160,5560,712,1375,270,16,214,677,58,29,480,1315,.247,.311,.417,.728,97,2319,152,50,38,30,24,1027,2012
Boston Red Sox,56,29.4,4.53,162,6166,5604,734,1459,339,16,165,695,97,31,428,1197,.260,.315,.415,.730,96,2325,105,45,34,55,27,1076,2012
Chicago Cubs,53,27.8,3.78,162,5967,5411,613,1297,265,36,137,570,94,45,447,1235,.240,.302,.378,.680,83,2045,125,43,42,24,29,1044,2012
Chicago White Sox,45,30.0,4.62,162,6111,5518,748,1409,228,29,211,726,109,43,461,1203,.255,.318,.422,.740,98,2328,112,65,31,36,24,1038,2012
Cincinnati Reds,38,28.8,4.13,162,6115,5477,669,1377,296,30,172,636,87,27,481,1266,.251,.315,.411,.726,93,2249,100,47,73,37,54,1135,2012
Cleveland Indians,48,27.8,4.12,162,6195,5525,667,1385,266,24,136,635,110,44,555,1087,.251,.324,.381,.705,99,2107,141,59,17,39,28,1162,2012
Colorado Rockies,49,28.0,4.68,162,6183,5577,758,1526,306,52,166,716,100,40,450,1213,.274,.330,.436,.766,93,2434,132,36,74,39,34,1111,2012
Detroit Tigers,47,27.9,4.48,162,6119,5476,726,1467,279,39,163,698,59,23,511,1103,.268,.335,.422,.757,103,2313,156,57,36,39,46,1121,2012
Houston Astros,50,26.6,3.60,162,6014,5407,583,1276,238,28,146,545,105,46,463,1365,.236,.302,.371,.673,82,2008,114,58,54,30,19,1090,2012
Kansas City Royals,46,26.1,4.17,162,6149,5636,676,1492,295,37,131,643,132,38,404,1032,.265,.317,.400,.716,94,2254,130,42,26,41,35,1087,2012
Los Angeles Angels of Anaheim,44,28.7,4.73,162,6121,5536,767,1518,273,22,187,732,134,33,449,1113,.274,.332,.433,.764,114,2396,138,47,47,41,29,1079,2012
Los Angeles Dodgers,50,30.4,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,.252,.317,.374,.690,91,2032,139,52,82,38,49,1112,2012
Miami Marlins,45,28.3,3.76,162,6057,5437,609,1327,261,39,137,576,149,41,484,1228,.244,.308,.382,.690,85,2077,114,35,60,40,46,1092,2012
Milwaukee Brewers,46,29.1,4.79,162,6225,5557,776,1442,300,39,202,741,158,39,466,1240,.259,.325,.437,.762,101,2426,111,90,76,35,35,1104,2012
Minnesota Twins,47,28.8,4.33,162,6209,5562,701,1448,270,30,131,666,135,37,505,1069,.260,.325,.390,.715,98,2171,149,53,33,56,28,1144,2012
New York Mets,49,27.9,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,.249,.316,.386,.701,94,2102,118,42,64,30,43,1118,2012
New York Yankees,45,32.9,4.96,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,.265,.337,.453,.790,112,2503,136,62,31,49,31,1135,2012
Oakland Athletics,50,27.7,4.40,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,.238,.310,.404,.714,99,2231,97,45,27,34,29,1095,2012
Philadelphia Phillies,49,31.1,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,.255,.317,.400,.716,92,2215,114,63,72,39,41,1135,2012
Pittsburgh Pirates,49,27.7,4.02,162,6014,5412,651,1313,241,37,170,620,73,52,444,1354,.243,.304,.395,.699,93,2138,98,51,62,45,32,1049,2012
San Diego Padres,53,27.4,4.02,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,.247,.319,.380,.699,97,2060,100,54,63,34,36,1146,2012
Seattle Mariners,38,27.1,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,.234,.296,.369,.665,88,2027,95,30,32,35,21,1052,2012
San Francisco Giants,45,27.8,4.43,162,6200,5558,718,1495,287,57,103,675,118,39,483,1097,.269,.327,.397,.724,106,2205,114,29,69,61,44,1171,2012
St. Louis Cardinals,45,29.2,4.72,162,6326,5622,765,1526,290,37,159,732,91,37,533,1192,.271,.338,.421,.759,107,2367,135,53,69,49,45,1198,2012
Tampa Bay Rays,43,29.7,4.30,162,6105,5398,697,1293,250,30,175,665,134,44,571,1323,.240,.317,.394,.711,99,2128,133,58,34,42,26,1058,2012
Texas Rangers,39,29.7,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,.273,.334,.446,.780,105,2493,121,57,36,53,44,1113,2012
Toronto Blue Jays,54,27.8,4.42,162,6094,5487,716,1346,247,22,198,677,123,41,473,1251,.245,.309,.407,.716,94,2231,109,55,33,45,29,1026,2012
Washington Nationals,43,27.2,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,.261,.322,.428,.750,101,2401,110,41,50,36,43,1127,2012
League Average,43,28.5,4.32,162,6139,5508,701,1402,275,31,164,667,108,38,490,1214,.255,.319,.405,.724,97,2233,120,50,49,41,35,1103,2012
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2012
,1284,28.5,4.32,4860,184180,165251,21017,42063,8261,927,4934,19998,3229,1136,14709,36426,.255,.319,.405,.724,97,66980,3614,1494,1479,1223,1055,33094,2012
Arizona Diamondbacks,44,28.1,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,.259,.323,.391,.715,96,2222,160,43,50,43,51,1160,2013
Atlanta Braves,44,26.8,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,.249,.321,.402,.723,99,2186,119,55,58,35,36,1132,2013
Baltimore Orioles,52,27.8,4.60,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,.260,.313,.431,.744,101,2422,105,36,27,45,36,1053,2013
Boston Red Sox,48,29.6,5.27,162,6382,5651,853,1566,363,29,178,819,123,19,581,1308,.277,.349,.446,.795,116,2521,137,72,24,50,51,1212,2013
Chicago Cubs,56,27.9,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,.238,.300,.392,.693,89,2156,120,67,43,30,28,1092,2013
Chicago White Sox,47,29.2,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,.249,.302,.378,.680,84,2104,124,34,19,48,23,1068,2013
Cincinnati Reds,39,28.5,4.31,162,6293,5499,698,1370,274,20,155,664,67,35,585,1245,.249,.327,.391,.718,98,2149,129,76,85,46,65,1191,2013
Cleveland Indians,49,28.6,4.60,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,.255,.327,.410,.737,107,2240,106,51,31,56,19,1126,2013
Colorado Rockies,43,27.7,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,.270,.323,.418,.741,91,2343,111,26,65,35,26,1118,2013
Detroit Tigers,39,30.0,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,.283,.346,.434,.780,111,2491,146,43,32,47,40,1250,2013
Houston Astros,50,25.8,3.77,162,6020,5457,610,1307,266,16,148,566,110,61,426,1535,.240,.299,.375,.674,86,2049,110,52,46,38,17,1007,2013
Kansas City Royals,43,26.9,4.00,162,6093,5549,648,1443,254,34,112,620,153,32,422,1048,.260,.315,.379,.694,89,2101,131,42,37,42,38,1110,2013
Los Angeles Angels of Anaheim,49,27.8,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,.264,.329,.414,.743,110,2316,150,48,37,64,40,1144,2013
Los Angeles Dodgers,49,30.6,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,.264,.326,.396,.722,103,2176,130,57,71,48,45,1175,2013
Miami Marlins,53,27.7,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,.231,.293,.335,.627,73,1823,131,56,57,26,31,1080,2013
Milwaukee Brewers,40,27.9,3.95,162,6064,5474,640,1381,238,43,157,610,142,50,407,1183,.252,.311,.398,.708,93,2176,116,71,77,35,22,1071,2013
Minnesota Twins,44,28.2,3.79,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,.242,.312,.380,.692,90,2114,103,52,29,32,20,1206,2013
New York Mets,53,28.3,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,.237,.306,.366,.672,91,2035,106,51,53,32,40,1137,2013
New York Yankees,56,31.9,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,.242,.307,.376,.683,88,2048,121,57,36,36,33,1064,2013
Oakland Athletics,44,28.3,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,.254,.327,.419,.745,107,2312,108,45,21,49,29,1126,2013
Philadelphia Phillies,51,30.0,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,.248,.306,.384,.690,91,2094,131,53,57,31,41,1061,2013
Pittsburgh Pirates,49,27.9,3.91,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,.245,.313,.396,.709,100,2172,120,88,62,29,41,1126,2013
San Diego Padres,47,28.1,3.81,162,6122,5517,618,1349,246,26,146,578,118,34,467,1309,.245,.308,.378,.686,97,2085,99,52,52,34,36,1126,2013
Seattle Mariners,47,28.7,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,.237,.306,.390,.695,98,2165,122,31,26,28,21,1131,2013
San Francisco Giants,44,28.7,3.88,162,6168,5552,629,1446,280,35,107,596,67,26,469,1078,.260,.320,.381,.702,100,2117,131,39,66,42,40,1187,2013
St. Louis Cardinals,44,28.7,4.83,162,6202,5557,783,1494,322,20,125,745,45,22,481,1110,.269,.332,.401,.733,102,2231,154,64,56,44,38,1087,2013
Tampa Bay Rays,42,29.5,4.29,163,6242,5538,700,1421,296,23,165,670,73,38,589,1171,.257,.329,.408,.737,106,2258,140,36,24,55,31,1172,2013
Texas Rangers,46,29.6,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,.262,.323,.412,.735,100,2301,124,61,45,42,26,1110,2013
Toronto Blue Jays,53,28.9,4.40,162,6152,5537,712,1398,273,24,185,669,112,41,510,1123,.252,.318,.411,.729,99,2274,133,38,29,38,19,1065,2013
Washington Nationals,44,27.7,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,.251,.313,.398,.710,94,2161,115,40,68,39,35,1071,2013
League Average,43,28.5,4.17,162,6162,5536,675,1403,274,26,155,642,90,34,488,1224,.253,.318,.396,.714,97,2195,124,51,46,41,34,1122,2013
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2013
,1304,28.5,4.17,4862,184873,166070,20255,42093,8222,772,4661,19271,2693,1007,14640,36710,.253,.318,.396,.714,97,65842,3732,1536,1383,1219,1018,33658,2013
Arizona Diamondbacks,52,27.6,3.80,162,6089,5552,615,1379,259,47,118,573,86,33,398,1165,.248,.302,.376,.678,88,2086,115,43,56,36,31,1092,2014
Atlanta Braves,39,26.8,3.54,162,6064,5468,573,1316,240,22,123,545,95,33,472,1369,.241,.305,.360,.665,88,1969,121,43,53,27,31,1128,2014
Baltimore Orioles,44,28.3,4.35,162,6130,5596,705,1434,264,16,211,681,44,20,401,1285,.256,.311,.422,.734,104,2363,112,62,35,36,29,1088,2014
Boston Red Sox,55,29.1,3.91,162,6226,5551,634,1355,282,20,123,601,63,25,535,1337,.244,.316,.369,.684,91,2046,138,68,20,52,36,1168,2014
Chicago Cubs,48,26.8,3.79,162,6102,5508,614,1315,270,31,157,590,65,40,442,1477,.239,.300,.385,.684,89,2118,94,54,57,41,29,1069,2014
Chicago White Sox,44,27.7,4.07,162,6077,5543,660,1400,279,32,155,625,85,36,417,1362,.253,.310,.398,.708,102,2208,127,60,19,38,33,1071,2014
Cincinnati Reds,45,29.0,3.67,162,5978,5395,595,1282,254,20,131,562,122,52,415,1252,.238,.296,.365,.661,85,1969,88,52,76,37,22,1037,2014
Cleveland Indians,46,28.6,4.13,162,6222,5575,669,1411,284,23,142,644,104,27,504,1189,.253,.317,.389,.706,97,2167,126,42,51,49,24,1154,2014
Colorado Rockies,49,27.3,4.66,162,6164,5612,755,1551,307,41,186,721,85,48,397,1281,.276,.327,.445,.772,102,2498,121,48,59,48,39,1072,2014
Detroit Tigers,48,29.8,4.67,162,6202,5630,757,1557,325,26,155,731,106,41,443,1144,.277,.331,.426,.757,113,2399,137,44,24,61,51,1111,2014
Houston Astros,48,25.4,3.88,162,6055,5447,629,1317,240,19,163,596,122,37,495,1442,.242,.309,.383,.692,96,2084,122,55,22,36,27,1086,2014
Kansas City Royals,48,28.2,4.02,162,6058,5545,651,1456,286,29,95,604,153,36,380,985,.263,.314,.376,.690,92,2085,131,53,33,47,22,1080,2014
Los Angeles Angels of Anaheim,54,29.3,4.77,162,6285,5652,773,1464,304,31,155,729,81,39,492,1266,.259,.322,.406,.728,110,2295,112,60,26,54,42,1113,2014
Los Angeles Dodgers,49,29.4,4.43,162,6231,5560,718,1476,302,38,134,686,138,50,519,1246,.265,.333,.406,.738,110,2256,119,61,47,43,30,1159,2014
Miami Marlins,45,27.4,3.98,162,6185,5538,645,1399,254,36,122,614,58,21,501,1419,.253,.317,.378,.694,94,2091,143,35,71,39,49,1145,2014
Milwaukee Brewers,40,28.8,4.01,162,6065,5462,650,1366,297,28,150,617,102,43,423,1197,.250,.311,.397,.708,95,2169,135,73,70,37,32,1049,2014
Minnesota Twins,48,27.5,4.41,162,6233,5567,715,1412,316,27,128,675,99,36,544,1329,.254,.324,.389,.713,100,2166,97,53,25,44,29,1176,2014
New York Mets,45,28.4,3.88,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,.239,.308,.364,.673,93,1994,112,54,59,44,42,1123,2014
New York Yankees,58,32.8,3.91,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,.245,.307,.380,.687,94,2089,111,56,29,47,16,1098,2014
Oakland Athletics,45,29.6,4.50,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,.244,.320,.381,.700,100,2111,118,49,19,43,34,1147,2014
Philadelphia Phillies,49,30.7,3.82,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,.242,.302,.363,.665,85,2036,94,55,59,37,42,1147,2014
Pittsburgh Pirates,45,27.3,4.21,162,6224,5536,682,1436,275,30,156,659,104,47,520,1244,.259,.330,.404,.734,106,2239,127,78,54,35,46,1192,2014
San Diego Padres,51,27.9,3.30,162,5905,5294,535,1199,224,30,109,500,91,34,468,1294,.226,.292,.342,.634,84,1810,118,41,56,45,27,1033,2014
Seattle Mariners,44,27.5,3.91,162,5977,5450,634,1328,247,32,136,600,96,42,396,1232,.244,.300,.376,.676,95,2047,112,60,35,34,33,1008,2014
San Francisco Giants,46,28.6,4.10,162,6087,5523,665,1407,257,42,132,636,56,27,427,1245,.255,.311,.388,.699,100,2144,113,43,45,49,37,1095,2014
St. Louis Cardinals,46,28.5,3.82,162,6086,5426,619,1371,275,21,105,585,57,32,471,1133,.253,.320,.369,.689,93,2003,140,86,64,39,28,1145,2014
Tampa Bay Rays,43,29.3,3.78,162,6205,5516,612,1361,263,24,117,586,63,27,527,1124,.247,.317,.367,.684,96,2023,135,66,43,53,31,1193,2014
Texas Rangers,64,28.4,3.93,162,6026,5460,637,1400,260,28,111,597,105,59,417,1162,.256,.314,.375,.689,92,2049,148,61,41,45,37,1066,2014
Toronto Blue Jays,55,29.2,4.46,162,6167,5549,723,1435,282,24,177,690,78,21,502,1151,.259,.323,.414,.736,108,2296,128,41,35,40,27,1122,2014
Washington Nationals,40,28.7,4.23,162,6216,5542,686,1403,265,27,152,635,101,23,517,1304,.253,.321,.393,.714,96,2178,115,56,60,41,29,1160,2014
League Average,44,28.5,4.07,162,6131,5520,659,1386,271,28,140,625,92,34,467,1248,.251,.314,.386,.700,97,2133,120,55,45,43,33,1111,2014
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,2014
,1320,28.5,4.07,4860,183929,165614,19761,41595,8137,849,4186,18745,2764,1035,14020,37441,.251,.314,.386,.700,97,63988,3609,1652,1343,1277,985,33327,2014
Arizona Diamondbacks,50,26.5,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,.264,.324,.414,.738,97,2341,134,33,46,57,40,1153,2015
Atlanta Braves,60,28.8,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,.251,.314,.359,.674,87,1948,148,44,67,31,39,1145,2015
Baltimore Orioles,48,27.9,4.40,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,.250,.307,.421,.728,97,2307,127,51,20,32,23,990,2015
Boston Red Sox,51,28.2,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,.265,.325,.415,.740,97,2338,127,46,30,42,28,1142,2015
Chicago Cubs,50,26.9,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,.244,.321,.398,.719,98,2186,101,74,32,35,47,1165,2015
Chicago White Sox,40,28.2,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,.250,.306,.380,.686,92,2103,125,65,30,37,22,1065,2015
Cincinnati Reds,50,29.5,3.95,162,6196,5571,640,1382,257,27,167,613,134,38,496,1255,.248,.312,.394,.706,92,2194,112,42,47,40,38,1148,2015
Cleveland Indians,49,28.0,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,.256,.325,.401,.725,93,2179,134,39,47,50,34,1147,2015
Colorado Rockies,51,28.0,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,.265,.315,.432,.748,89,2409,114,33,44,34,47,1016,2015
Detroit Tigers,47,28.3,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,.270,.328,.420,.748,105,2355,152,41,23,35,36,1111,2015
Houston Astros,46,26.3,4.50,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,.250,.315,.437,.752,107,2383,102,56,28,43,22,1036,2015
Kansas City Royals,45,29.1,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,.269,.322,.412,.734,98,2298,133,77,34,47,28,1079,2015
Los Angeles Angels of Anaheim,51,28.7,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,.246,.307,.396,.702,97,2144,116,58,37,40,34,1013,2015
Los Angeles Dodgers,55,29.6,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,106,2222,135,60,49,30,31,1121,2015
Miami Marlins,51,27.9,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,.260,.310,.384,.694,93,2096,133,39,71,40,30,1059,2015
Milwaukee Brewers,49,28.1,4.04,162,6024,5480,655,1378,274,34,145,624,84,29,412,1299,.251,.307,.393,.700,91,2155,130,41,55,34,35,1026,2015
Minnesota Twins,44,28.2,4.30,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,.247,.305,.399,.704,92,2182,133,40,30,41,31,993,2015
New York Mets,49,28.6,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,.244,.312,.400,.712,96,2211,130,68,29,32,42,1098,2015
New York Yankees,56,31.4,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,.251,.323,.421,.744,102,2343,105,63,24,54,23,1151,2015
Oakland Athletics,52,27.9,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,.251,.312,.395,.707,96,2212,124,40,14,38,21,1102,2015
Philadelphia Phillies,50,28.0,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,.249,.303,.382,.684,89,2110,119,54,53,29,20,1066,2015
Pittsburgh Pirates,46,28.2,4.30,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,.260,.323,.396,.719,97,2228,115,89,63,41,46,1166,2015
San Diego Padres,46,27.7,4.01,162,6019,5457,650,1324,260,36,148,623,82,29,426,1327,.243,.300,.385,.685,91,2100,108,40,52,42,22,1028,2015
Seattle Mariners,51,28.6,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,.249,.311,.411,.722,101,2279,123,36,38,35,31,1080,2015
San Francisco Giants,48,28.9,4.30,162,6153,5565,696,1486,288,39,136,663,93,36,457,1159,.267,.326,.406,.732,101,2260,142,49,45,37,30,1130,2015
St. Louis Cardinals,46,28.4,3.99,162,6139,5484,647,1386,288,39,137,619,69,38,506,1267,.253,.321,.394,.716,95,2163,128,66,39,42,47,1152,2015
Tampa Bay Rays,51,28.5,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,.252,.314,.406,.720,100,2226,121,84,19,47,22,1075,2015
